git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2019,男,台北市,骨、關節及關節軟骨,0.94,14 ,52.07,63.0,1.11
2019,男,台北市,結締組織、皮下組織及其他軟組織,2.07,39 ,61.23,66.0,3.1
2019,男,台北市,皮膚,8.97,224 ,73.19,76.0,17.78
2019,男,台北市,男性乳房,0.4,9 ,67.89,67.0,0.71
2019,男,台北市,攝護腺,41.01,"1,023 ",72.63,72.0,81.19
2019,男,台北市,睪丸,2.33,29 ,38.1,33.0,2.3
2019,男,台北市,其他男性生殖器官,0.48,12 ,70.5,62.5,0.95
2019,男,台北市,膀胱,7.23,180 ,72.73,72.0,14.29
2019,男,台北市,腎,7.81,154 ,60.16,61.0,12.22
2019,男,台北市,腎盂及其他泌尿系統,2.85,70 ,70.8,71.0,5.56
2019,男,台北市,眼及淚腺,0.46,6 ,41.0,50.5,0.48
2019,男,台北市,腦,3.63,54 ,49.67,57.0,4.29
2019,男,台北市,其他神經系統,0.24,4 ,50.0,45.0,0.32
2019,男,台北市,甲狀腺,7.96,134 ,50.56,51.0,10.63
2019,男,台北市,其他內分泌腺,0.45,7 ,46.71,55.0,0.56
2019,男,台北市,其他分界不明的部位,0.15,4 ,74.5,73.0,0.32
2019,男,台北市,不明原發部位,1.35,33 ,70.79,70.0,2.62
2019,男,台北市,何杰金氏淋巴瘤,0.87,11 ,44.09,35.0,0.87
2019,男,台北市,白血病,10.21,191 ,61.08,66.0,15.16
2019,男,台北市,非何杰金氏淋巴瘤,9.22,194 ,65.95,67.0,15.4
2019,男,台北市,漿細胞瘤,1.93,47 ,70.62,69.0,3.73
2019,男,台北市,全癌症,294.24,"6,564 ",66.96,67.0,520.93
2019,男,新北市,口腔、口咽及下咽,36.03,"1,096 ",57.98,58.0,55.81
2019,男,新北市,主唾液腺,0.95,28 ,58.11,60.0,1.43
2019,男,新北市,鼻咽,7.62,211 ,51.82,52.0,10.75
2019,男,新北市,食道,13.16,418 ,61.06,60.0,21.29
2019,男,新北市,胃,13.9,434 ,68.01,68.0,22.1
2019,男,新北市,小腸,1.59,47 ,59.98,61.0,2.39
2019,男,新北市,結直腸,49.79,"1,533 ",64.56,65.0,78.07
2019,男,新北市,肝及肝內膽管,36.82,"1,150 ",63.87,64.0,58.56
2019,男,新北市,膽囊及肝外膽管,3.14,98 ,67.99,68.0,4.99
2019,男,新北市,胰,7.52,235 ,65.25,65.0,11.97
2019,男,新北市,後腹膜腔及腹膜,0.58,18 ,64.17,64.5,0.92
2019,男,新北市,消化器官其他分界不明部位,0.04,1 ,51.0,51.0,0.05
2019,男,新北市,鼻腔、中耳及副鼻竇,1.37,36 ,54.08,52.5,1.83
2019,男,新北市,喉,4.32,135 ,63.77,63.0,6.87
2019,男,新北市,肺、支氣管及氣管,48.43,"1,511 ",66.98,67.0,76.95
2019,男,新北市,胸膜,0.3,9 ,67.56,70.0,0.46
2019,男,新北市,胸腺、心臟與中隔,2.39,63 ,54.51,56.0,3.21
2019,男,新北市,骨、關節及關節軟骨,0.84,16 ,39.88,40.0,0.81
2019,男,新北市,結締組織、皮下組織及其他軟組織,2.45,60 ,54.7,58.5,3.06
2019,男,新北市,皮膚,9.46,289 ,69.61,70.0,14.72
2019,男,新北市,男性乳房,0.34,11 ,69.09,70.0,0.56
2019,男,新北市,攝護腺,38.75,"1,214 ",71.63,71.0,61.82
2019,男,新北市,睪丸,3.01,58 ,33.38,31.5,2.95
2019,男,新北市,其他男性生殖器官,0.56,18 ,65.06,62.5,0.92
2019,男,新北市,膀胱,8.69,268 ,68.78,69.0,13.65
