diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1993年,女,台北市,全癌症,202.34,2438,55.18,56.0,184.55
1994年,男,台北市,口腔、口咽及下咽,11.44,151,53.62,54.0,11.36
1994年,男,台北市,主唾液腺,0.46,6,44.17,42.5,0.45
1994年,男,台北市,鼻咽,7.76,108,48.75,45.5,8.12
1994年,男,台北市,食道,5.8,78,65.36,67.5,5.87
1994年,男,台北市,胃,20.09,276,66.49,69.0,20.76
1994年,男,台北市,小腸,0.8,10,60.2,60.5,0.75
1994年,男,台北市,結直腸,31.71,427,64.57,67.0,32.11
1994年,男,台北市,肝及肝內膽管,33.39,427,60.18,62.0,32.11
1994年,男,台北市,膽囊及肝外膽管,1.62,21,66.81,68.0,1.58
1994年,男,台北市,胰,3.9,53,62.96,65.0,3.99
1994年,男,台北市,後腹膜腔及腹膜,0.24,3,40.33,40.0,0.23
1994年,男,台北市,消化器官其他分界不明部位,0.15,2,47.0,47.0,0.15
1994年,男,台北市,鼻腔、中耳及副鼻竇,0.85,11,58.27,59.0,0.83
1994年,男,台北市,喉,3.38,43,64.65,65.0,3.23
1994年,男,台北市,肺、支氣管及氣管,30.55,415,68.27,69.0,31.21
1994年,男,台北市,胸腺、心臟與中隔,1.25,16,43.75,49.0,1.2
1994年,男,台北市,骨、關節及關節軟骨,0.68,9,27.67,14.0,0.68
1994年,男,台北市,結締組織、皮下組織及其他軟組織,1.7,23,48.65,47.0,1.73
1994年,男,台北市,皮膚,4.68,63,59.13,65.0,4.74
1994年,男,台北市,男性乳房,0.27,3,60.67,62.0,0.23
1994年,男,台北市,攝護腺,10.9,153,72.06,72.0,11.51
1994年,男,台北市,睪丸,0.94,12,32.67,33.0,0.9
1994年,男,台北市,其他男性生殖器官,0.52,7,58.29,64.0,0.53
1994年,男,台北市,膀胱,8.18,109,64.77,69.0,8.2
1994年,男,台北市,腎,4.49,58,58.33,59.0,4.36
1994年,男,台北市,腎盂及其他泌尿系統,2.69,36,66.75,70.0,2.71
1994年,男,台北市,眼及淚腺,0.14,2,54.0,54.0,0.15
1994年,男,台北市,腦,3.15,42,49.79,54.5,3.16
1994年,男,台北市,其他神經系統,0.39,6,51.17,56.5,0.45
1994年,男,台北市,甲狀腺,1.86,25,56.84,62.0,1.88
1994年,男,台北市,其他內分泌腺,0.33,5,53.2,60.0,0.38
1994年,男,台北市,其他分界不明的部位,0.42,6,63.0,71.0,0.45
1994年,男,台北市,不明原發部位,5.15,70,65.7,69.0,5.26
1994年,男,台北市,何杰金氏淋巴瘤,0.22,3,50.33,60.0,0.23
1994年,男,台北市,白血病,5.07,66,50.02,55.5,4.96
1994年,男,台北市,非何杰金氏淋巴瘤,5.24,71,58.52,61.0,5.34
1994年,男,台北市,漿細胞瘤,1.77,24,66.0,66.0,1.81
1994年,男,台北市,全癌症,214.74,2876,62.12,66.0,216.3
1994年,女,台北市,口腔、口咽及下咽,1.52,18,55.78,60.0,1.36
1994年,女,台北市,主唾液腺,0.69,8,63.88,64.0,0.6
1994年,女,台北市,鼻咽,4.41,59,48.83,49.0,4.46
1994年,女,台北市,食道,0.63,7,69.71,70.0,0.53
1994年,女,台北市,胃,11.31,135,60.84,63.0,10.2
1994年,女,台北市,小腸,0.46,5,63.6,60.0,0.38
1994年,女,台北市,結直腸,24.18,280,63.56,66.0,21.15
1994年,女,台北市,肝及肝內膽管,11.87,143,58.08,60.0,10.8
1994年,女,台北市,膽囊及肝外膽管,2.3,26,67.54,69.0,1.96
1994年,女,台北市,胰,2.49,28,66.32,69.5,2.11
1994年,女,台北市,後腹膜腔及腹膜,0.62,7,51.57,53.0,0.53
1994年,女,台北市,消化器官其他分界不明部位,0.05,1,42.0,42.0,0.08
1994年,女,台北市,鼻腔、中耳及副鼻竇,0.36,5,41.6,41.0,0.38
1994年,女,台北市,喉,0.09,1,56.0,56.0,0.08
1994年,女,台北市,肺、支氣管及氣管,18.02,210,64.01,66.5,15.86
1994年,女,台北市,胸膜,0.18,2,37.0,37.0,0.15
1994年,女,台北市,胸腺、心臟與中隔,0.43,5,57.4,59.0,0.38
1994年,女,台北市,骨、關節及關節軟骨,0.45,5,31.8,16.0,0.38
1994年,女,台北市,結締組織、皮下組織及其他軟組織,1.37,18,47.0,45.0,1.36
1994年,女,台北市,皮膚,5.13,62,54.23,61.5,4.68
1994年,女,台北市,女性乳房,34.91,473,50.74,47.0,35.73
1994年,女,台北市,子宮,0.35,4,59.5,55.0,0.3
1994年,女,台北市,子宮頸,23.73,307,54.23,54.0,23.19
1994年,女,台北市,子宮體,4.97,63,53.06,54.0,4.76
1994年,女,台北市,卵巢、輸卵管及寬韌帶,6.67,86,47.55,47.5,6.5
1994年,女,台北市,其他女性生殖器官,1.09,13,52.77,58.0,0.98
1994年,女,台北市,膀胱,3.39,37,69.11,72.0,2.79
1994年,女,台北市,腎,2.46,30,56.8,62.0,2.27
1994年,女,台北市,腎盂及其他泌尿系統,2.74,30,68.1,68.0,2.27
1994年,女,台北市,眼及淚腺,0.11,1,1.0,1.0,0.08
1994年,女,台北市,腦,3.09,37,38.03,42.0,2.79
1994年,女,台北市,其他神經系統,0.47,6,38.33,31.5,0.45
1994年,女,台北市,甲狀腺,5.55,79,43.19,39.0,5.97
1994年,女,台北市,其他內分泌腺,0.3,3,16.0,0.0,0.23
1994年,女,台北市,其他分界不明的部位,0.37,4,29.0,19.5,0.3
1994年,女,台北市,不明原發部位,4.84,56,61.05,61.5,4.23
1994年,女,台北市,何杰金氏淋巴瘤,0.3,4,21.5,25.0,0.3
1994年,女,台北市,白血病,2.88,36,40.22,36.0,2.72
1994年,女,台北市,非何杰金氏淋巴瘤,4.14,54,54.19,59.0,4.08
1994年,女,台北市,漿細胞瘤,0.68,8,63.13,65.5,0.6
1994年,女,台北市,全癌症,191.83,2381,55.64,57.0,179.84
1995年,男,台北市,口腔、口咽及下咽,11.92,156,53.71,52.0,11.84
1995年,男,台北市,主唾液腺,0.74,10,50.1,48.0,0.76
1995年,男,台北市,鼻咽,8.87,120,49.69,48.0,9.11
1995年,男,台北市,食道,6.97,96,66.13,67.0,7.29
1995年,男,台北市,胃,25.69,357,66.56,69.0,27.1
1995年,男,台北市,小腸,0.35,5,66.2,68.0,0.38
1995年,男,台北市,結直腸,32.14,442,64.14,66.0,33.55
1995年,男,台北市,肝及肝內膽管,40.35,533,60.35,63.0,40.46
1995年,男,台北市,膽囊及肝外膽管,2.5,33,69.76,70.0,2.5
1995年,男,台北市,胰,4.52,62,64.4,68.0,4.71
1995年,男,台北市,後腹膜腔及腹膜,0.54,6,13.67,2.5,0.46
1995年,男,台北市,消化器官其他分界不明部位,0.39,5,64.4,69.0,0.38
1995年,男,台北市,鼻腔、中耳及副鼻竇,1.04,14,58.29,60.5,1.06
1995年,男,台北市,喉,3.77,52,67.63,68.5,3.95
1995年,男,台北市,肺、支氣管及氣管,32.71,459,68.42,70.0,34.84
1995年,男,台北市,胸膜,0.27,3,70.0,73.0,0.23
1995年,男,台北市,胸腺、心臟與中隔,0.78,10,47.1,53.0,0.76
1995年,男,台北市,骨、關節及關節軟骨,1.25,16,33.0,19.0,1.21
1995年,男,台北市,結締組織、皮下組織及其他軟組織,1.17,16,47.44,48.5,1.21
1995年,男,台北市,皮膚,5.72,78,63.21,66.0,5.92
1995年,男,台北市,男性乳房,0.32,4,61.75,61.0,0.3
1995年,男,台北市,攝護腺,15.85,231,72.83,74.0,17.53
1995年,男,台北市,睪丸,0.93,12,38.75,34.5,0.91
1995年,男,台北市,其他男性生殖器官,0.5,7,58.14,68.0,0.53
1995年,男,台北市,膀胱,8.93,125,65.24,69.0,9.49
1995年,男,台北市,腎,3.91,50,60.48,64.0,3.8
1995年,男,台北市,腎盂及其他泌尿系統,2.73,37,63.92,66.0,2.81
1995年,男,台北市,眼及淚腺,0.43,5,45.0,61.0,0.38
1995年,男,台北市,腦,2.84,41,45.37,42.0,3.11
1995年,男,台北市,其他神經系統,0.1,1,52.0,52.0,0.08
1995年,男,台北市,甲狀腺,2.17,32,46.94,44.0,2.43
1995年,男,台北市,其他內分泌腺,0.38,4,21.25,13.5,0.3
1995年,男,台北市,其他分界不明的部位,0.24,3,63.0,61.0,0.23
1995年,男,台北市,不明原發部位,5.5,76,64.05,68.0,5.77
1995年,男,台北市,何杰金氏淋巴瘤,0.74,10,47.5,47.5,0.76
1995年,男,台北市,白血病,6.03,79,42.44,47.0,6.0
1995年,男,台北市,非何杰金氏淋巴瘤,4.27,57,60.04,63.0,4.33
1995年,男,台北市,漿細胞瘤,1.42,19,66.84,69.0,1.44
1995年,男,台北市,全癌症,241.93,3308,62.42,66.0,251.1
1995年,女,台北市,口腔、口咽及下咽,2.33,31,57.16,58.0,2.36
1995年,女,台北市,主唾液腺,0.42,6,49.33,45.5,0.46
1995年,女,台北市,鼻咽,2.34,34,47.88,43.5,2.58
1995年,女,台北市,食道,1.07,13,66.85,72.0,0.99
1995年,女,台北市,胃,12.81,157,63.06,66.0,11.94
1995年,女,台北市,小腸,0.6,7,71.86,72.0,0.53
1995年,女,台北市,結直腸,25.98,312,63.31,66.0,23.72
1995年,女,台北市,肝及肝內膽管,14.85,176,64.22,66.0,13.38
1995年,女,台北市,膽囊及肝外膽管,2.26,27,66.19,69.0,2.05
1995年,女,台北市,胰,3.48,40,67.5,70.0,3.04
1995年,女,台北市,後腹膜腔及腹膜,0.22,3,64.33,70.0,0.23
1995年,女,台北市,消化器官其他分界不明部位,0.34,4,62.5,65.0,0.3
1995年,女,台北市,鼻腔、中耳及副鼻竇,0.18,2,62.5,62.5,0.15
1995年,女,台北市,喉,0.18,2,81.0,81.0,0.15
1995年,女,台北市,肺、支氣管及氣管,22.41,264,64.49,66.5,20.07
1995年,女,台北市,胸腺、心臟與中隔,0.59,7,56.86,51.0,0.53
1995年,女,台北市,骨、關節及關節軟骨,0.51,7,41.29,31.0,0.53
1995年,女,台北市,結締組織、皮下組織及其他軟組織,1.45,18,40.61,41.5,1.37
1995年,女,台北市,皮膚,4.42,54,59.26,66.5,4.11
1995年,女,台北市,女性乳房,44.59,609,50.67,48.0,46.3
1995年,女,台北市,子宮,0.15,2,46.5,46.5,0.15
1995年,女,台北市,子宮頸,24.86,324,55.81,54.5,24.63
1995年,女,台北市,子宮體,4.89,63,52.79,53.0,4.79
1995年,女,台北市,卵巢、輸卵管及寬韌帶,7.85,105,49.44,48.0,7.98
1995年,女,台北市,其他女性生殖器官,0.98,12,61.42,65.0,0.91
1995年,女,台北市,膀胱,3.38,40,68.18,73.0,3.04
1995年,女,台北市,腎,2.7,33,58.03,60.0,2.51
1995年,女,台北市,腎盂及其他泌尿系統,2.65,30,65.63,65.5,2.28
1995年,女,台北市,眼及淚腺,0.32,4,42.5,44.0,0.3
1995年,女,台北市,腦,2.26,28,49.04,57.0,2.13
1995年,女,台北市,其他神經系統,0.31,4,56.75,59.0,0.3
1995年,女,台北市,甲狀腺,8.19,118,42.53,39.0,8.97
1995年,女,台北市,其他內分泌腺,0.24,3,37.67,34.0,0.23
1995年,女,台北市,其他分界不明的部位,0.24,3,64.0,71.0,0.23
1995年,女,台北市,不明原發部位,4.36,52,64.94,67.5,3.95
1995年,女,台北市,何杰金氏淋巴瘤,0.06,1,30.0,30.0,0.08
1995年,女,台北市,白血病,3.69,45,38.82,36.0,3.42
1995年,女,台北市,非何杰金氏淋巴瘤,2.86,37,51.92,54.0,2.81
1995年,女,台北市,漿細胞瘤,0.79,9,65.44,66.0,0.68
1995年,女,台北市,全癌症,213.76,2709,56.79,58.0,205.94
1996年,男,台北市,口腔、口咽及下咽,14.28,190,55.13,55.0,14.59
1996年,男,台北市,主唾液腺,1.03,14,46.93,44.5,1.08
1996年,男,台北市,鼻咽,8.94,122,51.37,51.0,9.37
1996年,男,台北市,食道,6.46,85,64.86,65.0,6.53
1996年,男,台北市,胃,24.42,343,67.61,70.0,26.34
1996年,男,台北市,小腸,0.83,12,64.5,69.5,0.92
1996年,男,台北市,結直腸,36.64,511,65.42,68.0,39.24
1996年,男,台北市,肝及肝內膽管,43.31,576,60.17,62.0,44.23
1996年,男,台北市,膽囊及肝外膽管,1.79,24,66.54,68.5,1.84
1996年,男,台北市,胰,4.64,66,68.05,70.5,5.07
1996年,男,台北市,後腹膜腔及腹膜,0.55,7,41.57,51.0,0.54
1996年,男,台北市,消化器官其他分界不明部位,0.25,3,61.67,60.0,0.23
1996年,男,台北市,鼻腔、中耳及副鼻竇,0.88,10,50.7,54.0,0.77
1996年,男,台北市,喉,3.54,47,65.53,67.0,3.61
1996年,男,台北市,肺、支氣管及氣管,37.29,532,68.48,71.0,40.85
1996年,男,台北市,胸膜,0.1,1,53.0,53.0,0.08
1996年,男,台北市,胸腺、心臟與中隔,1.27,15,50.27,55.0,1.15
1996年,男,台北市,骨、關節及關節軟骨,1.08,14,30.29,18.0,1.08
1996年,男,台北市,結締組織、皮下組織及其他軟組織,2.26,30,50.1,49.5,2.3
1996年,男,台北市,皮膚,6.77,98,62.76,67.5,7.53
1996年,男,台北市,男性乳房,0.06,1,79.0,79.0,0.08
1996年,男,台北市,攝護腺,18.49,274,72.27,73.0,21.04
1996年,男,台北市,睪丸,0.78,10,28.5,29.0,0.77
1996年,男,台北市,其他男性生殖器官,0.63,8,67.13,66.0,0.61
1996年,男,台北市,膀胱,9.91,145,68.2,71.0,11.13
1996年,男,台北市,腎,5.23,72,63.99,66.0,5.53
1996年,男,台北市,腎盂及其他泌尿系統,2.31,33,64.61,69.0,2.53
1996年,男,台北市,眼及淚腺,0.16,2,38.5,38.5,0.15
1996年,男,台北市,腦,3.13,41,45.1,47.0,3.15
1996年,男,台北市,其他神經系統,0.14,2,38.5,38.5,0.15
1996年,男,台北市,甲狀腺,1.16,15,55.13,55.0,1.15
1996年,男,台北市,其他內分泌腺,0.2,2,1.5,1.5,0.15
1996年,男,台北市,不明原發部位,6.74,92,64.18,67.0,7.06
1996年,男,台北市,何杰金氏淋巴瘤,0.66,9,33.0,32.0,0.69
1996年,男,台北市,白血病,6.04,80,44.0,45.0,6.14
1996年,男,台北市,非何杰金氏淋巴瘤,5.72,79,58.01,61.0,6.07
1996年,男,台北市,漿細胞瘤,1.1,15,66.27,67.0,1.15
1996年,男,台北市,全癌症,261.96,3624,63.04,67.0,278.29
1996年,女,台北市,口腔、口咽及下咽,2.63,36,59.33,61.0,2.76
1996年,女,台北市,主唾液腺,0.63,8,55.25,67.0,0.61
1996年,女,台北市,鼻咽,3.01,45,44.71,42.0,3.45
1996年,女,台北市,食道,1.02,12,68.42,69.5,0.92
1996年,女,台北市,胃,14.68,186,64.06,68.0,14.27
1996年,女,台北市,小腸,0.58,7,60.0,64.0,0.54
1996年,女,台北市,結直腸,30.32,373,63.11,65.0,28.62
1996年,女,台北市,肝及肝內膽管,16.98,206,64.65,65.0,15.81
1996年,女,台北市,膽囊及肝外膽管,2.84,34,66.71,65.5,2.61
1996年,女,台北市,胰,4.22,51,65.49,69.0,3.91
1996年,女,台北市,後腹膜腔及腹膜,0.84,10,52.5,55.0,0.77
1996年,女,台北市,消化器官其他分界不明部位,0.08,1,74.0,74.0,0.08
1996年,女,台北市,鼻腔、中耳及副鼻竇,0.34,4,52.75,59.5,0.31
1996年,女,台北市,喉,0.35,4,68.5,70.5,0.31
1996年,女,台北市,肺、支氣管及氣管,21.02,259,66.14,68.0,19.88
1996年,女,台北市,胸腺、心臟與中隔,0.61,8,50.75,50.0,0.61
1996年,女,台北市,骨、關節及關節軟骨,1.04,12,39.75,40.0,0.92
1996年,女,台北市,結締組織、皮下組織及其他軟組織,2.45,32,48.56,49.5,2.46
1996年,女,台北市,皮膚,6.37,77,63.47,67.0,5.91
1996年,女,台北市,女性乳房,43.26,608,50.48,48.0,46.66
1996年,女,台北市,子宮,0.16,2,74.0,74.0,0.15
1996年,女,台北市,子宮頸,27.85,371,54.77,55.0,28.47
1996年,女,台北市,子宮體,5.33,74,52.81,53.0,5.68
1996年,女,台北市,卵巢、輸卵管及寬韌帶,7.19,97,48.95,48.0,7.44
1996年,女,台北市,其他女性生殖器官,1.2,16,56.13,58.5,1.23
1996年,女,台北市,膀胱,2.81,35,63.11,65.0,2.69
1996年,女,台北市,腎,2.73,32,62.81,65.0,2.46
1996年,女,台北市,腎盂及其他泌尿系統,1.68,21,64.81,68.0,1.61
1996年,女,台北市,眼及淚腺,0.13,2,31.0,31.0,0.15
1996年,女,台北市,腦,2.4,30,46.87,51.5,2.3
1996年,女,台北市,其他神經系統,0.33,4,54.75,50.0,0.31
1996年,女,台北市,甲狀腺,8.3,117,44.71,42.0,8.98
1996年,女,台北市,其他內分泌腺,0.65,8,30.13,34.5,0.61
1996年,女,台北市,其他分界不明的部位,0.1,1,50.0,50.0,0.08
1996年,女,台北市,不明原發部位,5.79,72,67.14,70.5,5.53
1996年,女,台北市,何杰金氏淋巴瘤,0.34,5,32.2,30.0,0.38
1996年,女,台北市,白血病,4.3,55,45.73,45.0,4.22
1996年,女,台北市,非何杰金氏淋巴瘤,4.29,56,56.27,59.0,4.3
1996年,女,台北市,漿細胞瘤,0.84,10,68.1,67.5,0.77
1996年,女,台北市,全癌症,231.61,3005,57.28,59.0,230.6
1997年,男,台北市,口腔、口咽及下咽,13.28,181,53.27,51.0,13.97
1997年,男,台北市,主唾液腺,0.45,7,56.29,60.0,0.54
1997年,男,台北市,鼻咽,9.26,126,50.4,49.5,9.72
1997年,男,台北市,食道,8.32,115,64.66,66.0,8.88
1997年,男,台北市,胃,23.01,338,68.52,71.0,26.09
1997年,男,台北市,小腸,0.59,8,61.5,62.0,0.62
1997年,男,台北市,結直腸,35.95,503,65.21,67.0,38.82
1997年,男,台北市,肝及肝內膽管,44.99,612,60.76,63.0,47.24
1997年,男,台北市,膽囊及肝外膽管,2.96,43,70.51,73.0,3.32
1997年,男,台北市,胰,5.11,73,68.25,69.0,5.63
1997年,男,台北市,後腹膜腔及腹膜,0.49,7,45.14,36.0,0.54
1997年,男,台北市,消化器官其他分界不明部位,0.11,2,73.0,73.0,0.15
1997年,男,台北市,鼻腔、中耳及副鼻竇,0.72,11,52.27,49.0,0.85
1997年,男,台北市,喉,3.22,44,68.02,68.5,3.4
1997年,男,台北市,肺、支氣管及氣管,35.63,517,69.14,71.0,39.9
1997年,男,台北市,胸腺、心臟與中隔,0.85,12,54.58,50.0,0.93
1997年,男,台北市,骨、關節及關節軟骨,1.0,13,47.15,47.0,1.0
1997年,男,台北市,結締組織、皮下組織及其他軟組織,1.3,18,48.44,50.5,1.39
1997年,男,台北市,皮膚,6.98,99,63.55,68.0,7.64
1997年,男,台北市,男性乳房,0.25,4,65.75,73.0,0.31
1997年,男,台北市,攝護腺,20.21,304,72.69,74.0,23.46
1997年,男,台北市,睪丸,0.94,12,26.17,28.0,0.93
1997年,男,台北市,其他男性生殖器官,0.49,8,76.13,75.5,0.62
1997年,男,台北市,膀胱,10.33,147,67.02,69.0,11.35
1997年,男,台北市,腎,5.13,71,61.42,63.0,5.48
1997年,男,台北市,腎盂及其他泌尿系統,3.02,43,63.58,67.0,3.32
1997年,男,台北市,眼及淚腺,0.06,1,45.0,45.0,0.08
1997年,男,台北市,腦,3.49,46,51.65,55.5,3.55
1997年,男,台北市,其他神經系統,0.22,3,45.33,48.0,0.23
1997年,男,台北市,甲狀腺,1.66,23,49.78,49.0,1.78
1997年,男,台北市,其他內分泌腺,0.35,4,11.5,0.0,0.31
1997年,男,台北市,其他分界不明的部位,0.06,1,48.0,48.0,0.08
1997年,男,台北市,不明原發部位,3.71,54,69.54,71.0,4.17
1997年,男,台北市,何杰金氏淋巴瘤,0.48,6,23.33,14.5,0.46
1997年,男,台北市,白血病,5.11,67,43.58,42.0,5.17
1997年,男,台北市,非何杰金氏淋巴瘤,6.54,93,57.58,65.0,7.18
1997年,男,台北市,漿細胞瘤,1.5,20,65.9,67.5,1.54
1997年,男,台北市,全癌症,260.24,3669,63.56,67.0,283.18
1997年,女,台北市,口腔、口咽及下咽,2.72,36,60.19,61.5,2.76
1997年,女,台北市,主唾液腺,0.43,6,51.0,46.5,0.46
1997年,女,台北市,鼻咽,3.41,47,48.94,50.0,3.61
1997年,女,台北市,食道,0.79,10,72.5,75.0,0.77
1997年,女,台北市,胃,13.89,182,62.17,65.0,13.97
1997年,女,台北市,小腸,0.44,6,58.17,59.5,0.46
1997年,女,台北市,結直腸,30.13,386,64.24,66.0,29.63
1997年,女,台北市,肝及肝內膽管,18.99,237,64.19,65.0,18.19
1997年,女,台北市,膽囊及肝外膽管,2.5,31,68.35,68.0,2.38
1997年,女,台北市,胰,3.46,44,66.8,68.5,3.38
1997年,女,台北市,後腹膜腔及腹膜,0.57,8,47.5,45.0,0.61
1997年,女,台北市,鼻腔、中耳及副鼻竇,0.73,9,59.44,63.0,0.69
1997年,女,台北市,喉,0.46,6,66.67,68.0,0.46
1997年,女,台北市,肺、支氣管及氣管,20.84,269,66.28,69.0,20.65
1997年,女,台北市,胸膜,0.08,1,75.0,75.0,0.08
1997年,女,台北市,胸腺、心臟與中隔,0.53,7,44.57,48.0,0.54
1997年,女,台北市,骨、關節及關節軟骨,0.51,6,26.83,22.0,0.46
1997年,女,台北市,結締組織、皮下組織及其他軟組織,1.54,21,45.81,48.0,1.61
1997年,女,台北市,皮膚,6.18,81,57.31,60.0,6.22
1997年,女,台北市,女性乳房,49.7,714,51.66,48.0,54.8
1997年,女,台北市,子宮,0.08,1,79.0,79.0,0.08
1997年,女,台北市,子宮頸,27.35,382,53.93,53.0,29.32
1997年,女,台北市,子宮體,6.67,91,53.96,52.0,6.98
1997年,女,台北市,卵巢、輸卵管及寬韌帶,7.71,108,49.64,48.5,8.29
1997年,女,台北市,其他女性生殖器官,0.92,12,59.5,63.5,0.92
1997年,女,台北市,膀胱,4.66,59,66.56,69.0,4.53
1997年,女,台北市,腎,2.6,34,65.06,67.0,2.61
1997年,女,台北市,腎盂及其他泌尿系統,2.88,37,68.78,71.0,2.84
1997年,女,台北市,眼及淚腺,0.37,4,9.5,0.5,0.31
1997年,女,台北市,腦,2.28,29,42.79,45.0,2.23
1997年,女,台北市,其他神經系統,0.17,2,60.5,60.5,0.15
1997年,女,台北市,甲狀腺,8.75,124,44.82,42.0,9.52
1997年,女,台北市,其他內分泌腺,0.69,7,18.43,2.0,0.54
1997年,女,台北市,不明原發部位,3.53,46,65.67,70.5,3.53
1997年,女,台北市,何杰金氏淋巴瘤,0.38,5,35.0,33.0,0.38
1997年,女,台北市,白血病,3.1,38,43.97,52.0,2.92
1997年,女,台北市,非何杰金氏淋巴瘤,4.16,55,52.98,58.0,4.22
1997年,女,台北市,漿細胞瘤,1.21,15,64.73,63.0,1.15
1997年,女,台北市,全癌症,237.75,3187,57.18,58.0,244.62
1998年,男,台北市,口腔、口咽及下咽,15.67,218,53.58,51.5,16.62
1998年,男,台北市,主唾液腺,0.64,9,52.22,50.0,0.69
1998年,男,台北市,鼻咽,7.23,102,49.02,47.0,7.78
1998年,男,台北市,食道,6.53,96,63.98,66.5,7.32
1998年,男,台北市,胃,21.73,324,67.9,71.0,24.7
1998年,男,台北市,小腸,0.79,11,62.45,69.0,0.84
1998年,男,台北市,結直腸,37.03,537,65.19,68.0,40.94
1998年,男,台北市,肝及肝內膽管,43.25,607,61.67,63.0,46.27
1998年,男,台北市,膽囊及肝外膽管,2.79,41,67.32,69.0,3.13
1998年,男,台北市,胰,6.05,91,68.47,71.0,6.94
1998年,男,台北市,後腹膜腔及腹膜,0.52,6,42.83,45.0,0.46
1998年,男,台北市,消化器官其他分界不明部位,0.06,1,47.0,47.0,0.08
1998年,男,台北市,鼻腔、中耳及副鼻竇,0.35,5,64.8,63.0,0.38
1998年,男,台北市,喉,3.38,48,67.92,69.5,3.66
1998年,男,台北市,肺、支氣管及氣管,38.85,581,69.44,71.0,44.29
1998年,男,台北市,胸膜,0.15,2,83.5,83.5,0.15
1998年,男,台北市,胸腺、心臟與中隔,0.47,8,54.86,62.0,0.61
1998年,男,台北市,骨、關節及關節軟骨,0.68,9,34.11,28.0,0.69
1998年,男,台北市,結締組織、皮下組織及其他軟組織,1.67,25,49.84,46.0,1.91
1998年,男,台北市,皮膚,6.89,99,64.23,67.0,7.55
1998年,男,台北市,男性乳房,0.23,4,71.75,71.0,0.3
1998年,男,台北市,攝護腺,21.91,347,73.89,74.0,26.45
1998年,男,台北市,睪丸,0.98,14,32.64,32.0,1.07
1998年,男,台北市,其他男性生殖器官,0.64,10,72.0,72.0,0.76
1998年,男,台北市,膀胱,11.53,173,69.31,72.0,13.19
1998年,男,台北市,腎,5.58,81,63.04,67.0,6.17
1998年,男,台北市,腎盂及其他泌尿系統,4.0,61,65.95,71.0,4.65
1998年,男,台北市,眼及淚腺,0.13,2,54.0,54.0,0.15
1998年,男,台北市,腦,2.36,31,46.94,50.0,2.36
