,特材收錄品項表,,,,,,,,,,,,,,,,,,,,,,,,
大類碼,大小類碼,大小類碼名稱,品名碼,功能類別,功能類別名稱,核價類別名稱,特材代碼,中英文品名,中文品名,英文品名,產品型號/規格,單位,支付點數,核定費用,生效日期,事前審查生效日期,事前審查,給付規定代碼,生效迄日,申請者簡稱,許可證字號,自付差額品名,整組組件特材關聯代碼表,給付類別,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , HIGH PRESSURE STOPCOCK 〉=800PSI(接測壓導管或檢查導管或注射造影藥劑), ACS01V68MPTP, PREDURA PRESSURE RESISTAN THREE WAY STOPCOCK V-TYPE 1000PSI," ""特浦""耐壓三方活栓:高壓接頭"," ""TOP""PREDURA PRESSURE RESISTANT THREE-WAY STOPCOCK", '6.8MPA, EA,96.2, , 112/02/01, 095/07/01,N,無, 999/12/31, 特浦,衛署醫器輸字第011274號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 三路活塞接頭, ACS01VP004LL," ""LILY""3 WAY STOPCOCK""怡安""輸液三通閥"," ""怡安""輸液三通閥"," ""LILY""3 WAY STOPCOCK", 'CVP-004, EA,7, , 112/02/01, 102/01/01,N,無, 999/12/31, 怡安,衛署醫器製字第003251號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 抗藥型三路活塞接頭(抗paclitaxel、busulfan、Fluorouracil), ACS033151313," ""特浦""安全三方活栓(安邇型)“TOP” THREE-WAY STOPCOCK (NL TYPE)"," ""特浦""安全三方活栓(安邇型)", “TOP” Three-Way Stopcock (NL Type), 'SR-FL-CP(R型), 個,25, , 110/06/01, 110/06/01,N,A216-10, 999/12/31, 台灣特浦,衛部醫器輸字第031513號,  , , ,
'A,'AC, 導管接頭類, 'S03, 'ACS03, 活塞接頭(三路) , 抗藥型三路活塞接頭(抗Cyclosporin、Cyclophosphamide、Etoposide、Nimodipine、Phenytoin-sodium), ACS036494CBB, “柏朗”輸液轉換活塞DISCOFIX MULTIDIRECTIONAL STOPCOCKS-DISCOFIX C, “柏朗”輸液轉換活塞, DISCOFIX MULTIDIRECTIONAL STOPCOCKS, '16494C;16495C;16496C;16497C, 個,25, , 104/12/01, 104/12/01,N,A216-7, 999/12/31, 台灣柏朗,衛署醫器輸字第019852號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/直式, ACVP105103B0, CSF CATHETER CONNECTOR，STRAIGHT," ""長安""腦脊髓分引流系統:腦室腹腔引流組接頭(直式)"," ""BMI""CSF SHUNTING SYSTEM:CSF CATHETER CONNECTOR(STRAIGHT)", '05103(5103自1040701刪除)(05103自1040701生效), EA,380, , 104/07/01, 094/10/01,N,無, 999/12/31, 長安,衛署醫器製字第001388號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/L型, ACVP105104B0, CSF CATHETER CONNECTOR，RIGHT ANGLE," ""長安""腦脊髓分引流系統:腦室腹腔引流組接頭(L型)"," ""BMI""CSF SHUNTING SYSTEM:CSF CATHETER CONNECTOR(L TYPE)", '05104(5104自1040701刪除)(05104自1040701生效), EA,660, , 108/02/01, 094/10/01,N,無, 999/12/31, 長安,衛署醫器製字第001388號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/直式, ACVP123048CM, HAKIM STRAIGHT CONNECTOR," ""柯特曼""霍金斯引流閥系統:腦室腹腔引流組接頭(直式)"," ""MEDOS""CODMAN HAKIM VALVE SYSTEM:HAKIM STRAIGHT CONNECTOR", '82-3048, EA,380, , 104/01/01, 090/04/01,N,無, 999/12/31, 科舉,衛署醫器輸字第007778號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/直式, ACVP145103M4, “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(直式)“MEDTRONIC” CSF FLOW CONTROL SHUNTS AND ACCESSORIES - CSF CATHETER CONNECTOR(STRAIGHT), “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(直式), “Medtronic” CSF Flow Control Shunts and Accessories - CSF CATHETER CONNECTOR(STRAIGHT), '45103, 個,380, , 111/09/01, 111/09/01,N,無, 999/12/31, 美敦力,衛署醫器輸字第009959號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/L型, ACVP145104M4, “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(L型)“MEDTRONIC” CSF FLOW CONTROL SHUNTS AND ACCESSORIES - CSF CATHETER CONNECTOR(L TYPE), “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(L型), “Medtronic” CSF Flow Control Shunts and Accessories - CSF CATHETER CONNECTOR(L TYPE), '45104, 個,660, , 111/09/01, 111/09/01,N,無, 999/12/31, 美敦力,衛署醫器輸字第009959號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/直式, ACVP182150CM, ACCU-FLO STRAIGHT CONNECTORS(METAL，PLASTIC)," ""柯特曼""愛可閥引流系統用連接管:腦室腹腔引流組接頭(直式)"," ""CODMAN""ACCU-FLO CONNECTORS:STRAIGHT CONNECTORS", '82-1501;82-1504, EA,380, , 104/01/01, 095/01/01,N,無, 999/12/31, 科舉,衛署醫器輸字第011237號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/L型, ACVP182151CM, ACCU-FLO RIGHT ANGLE CONNECTORS(METAL，PLASTIC)," ""柯特曼""愛可閥引流系統用連接管:腦室腹腔引流組接頭(L型)"," ""CODMAN""ACCU-FLO CONNECTORS: RIGHT ANGLE CONNECTORS", '82-1507;82-1511, EA,660, , 108/02/01, 095/01/01,N,無, 999/12/31, 科舉,衛署醫器輸字第011237號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/Y型, ACVP205105B0, CSF CATHETER CONNECTOR，3-WAY," ""長安""腦脊髓分引流系統:腦室腹腔引流組接頭(Y型)"," ""BMI""CSF SHUNTING SYSTEM:CSF CATHETER CONNECTOR(3-WAY)", '05105(5105自1040701刪除)(05105自1040701生效), EA,1637, , 112/02/01, 094/10/01,N,無, 999/12/31, 長安,衛署醫器製字第001388號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/Y型, ACVP221520CM," ""美杜思""愛可閥腦水腫引流管系統-3Way連接管""Medos""Accu-Flo Hydrocephalus Shunt System-3Way connector"," ""美杜思""愛可閥腦水腫引流管系統-3Way連接管"," ""Medos""Accu-Flo Hydrocephalus Shunt System-3Way connector", '82-1520:1, EA,1637, , 112/02/01, 084/03/01,N,無, 999/12/31, 科舉,衛署醫器輸字第009149號,  , , ,
'A,'AC, 導管接頭類, 'VP1, 'ACVP1, 腦室腹腔引流組接頭, 腦室腹腔引流組接頭/Y型, ACVP245105M4, “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(Y型)“MEDTRONIC” CSF FLOW CONTROL SHUNTS AND ACCESSORIES - CSF CATHETER CONNECTOR (3 WAY), “美敦力”腦脊髓液引流套件組及附件 - 腦脊髓液導管接頭(Y型), “Medtronic” CSF Flow Control Shunts and Accessories - CSF CATHETER CONNECTOR (3 WAY), '45105, 個,1637, , 112/02/01, 111/09/01,N,無, 999/12/31, 美敦力,衛署醫器輸字第009959號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY010262NRV," ""普魯斯""斯溫止血閥(含三通活栓或含凹型魯爾接頭+金屬導線導引器+扭矩裝置)""PEROUSE""SWAN HAEMOSTASIS VALVE"," ""普魯斯""斯溫止血閥(含三通活栓或含凹型魯爾接頭+金屬導線導引器+扭矩裝置)"," ""PEROUSE""Swan Haemostasis Valve", '0262-NA;NB;NC;ND, 組,0, , 114/04/01, 109/07/01,N,無, 999/12/31, 興?,衛部醫器輸字第033227號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY010262NRV," ""普魯斯""斯溫止血閥(含三通活栓或含凹型魯爾接頭+金屬導線導引器+扭矩裝置)""PEROUSE""SWAN HAEMOSTASIS VALVE"," ""普魯斯""斯溫止血閥(含三通活栓或含凹型魯爾接頭+金屬導線導引器+扭矩裝置)"," ""PEROUSE""Swan Haemostasis Valve", '0262-NA;NB;NC;ND, 組,915, , 112/02/01, 109/07/01,N,無, 114/03/31, 興?,衛部醫器輸字第033227號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY0103331AB, COPILOT BLEEDBACK CONTROL VALVE Y ADAPTOR," ""亞培""可派樂回血控制閥:氣球導管或導引管用接頭(單Y型)"," ""ABBOTT"" COPILOT BLEEDBACK CONTROL VALVE(Y ADAPTOR)", '1003331, EA,915, , 112/02/01, 097/07/01,N,無, 999/12/31, 雅培,衛署醫器輸字第009632號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY010KAY2GG," ""GOODTEC""Y-CONNECTOR SET ""固德克""Y型連接器套組"," ""固德克""Y型連接器套組:氣球導管或導引管用接頭(單Y型)"," ""GOODTEC""Y-CONNECTOR SET", 'YOKOA;YOKOB;YOKOE, SET,915, , 112/02/01, 101/01/01,N,無, 999/12/31, 連鎰,衛署醫器輸字第022814號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01CFM02CK, “曲克”闕克芙爾止血轉接頭“COOK” CHECK-FLO HEMOSTASIS ASSEMBLY, “曲克”闕克芙爾止血轉接頭, “Cook” Check-Flo Hemostasis Assembly, 'CFM-100, 組,915, , 112/02/01, 109/07/01,N,無, 999/12/31, 曲克,衛部醫器輸字第033241號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01DPYKBD4, “迪瑪克” Y型連接器“Demax” Push-click Y connector kit, “迪瑪克” Y型連接器, “Demax” Push-click Y connector kit, 'DPY01B;DPY02B, 個,915, , 112/02/01, 111/05/01,N,無, 999/12/31, 蘭波灣,衛部醫器陸輸字第001276號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01FL3HVMR, “美瑞特” 飛鷺止血閥“MERIT” FLO 30 HEMOSTASIS VALVE, “美瑞特” 飛鷺止血閥, “Merit” FLO 30 Hemostasis Valve, 'FLO30, 個,915, , 112/02/01, 110/07/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第034323號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01FL4HVMR," ""美瑞特"" 飛鷺止血閥""MERIT"" FLO40XR HEMOSTASIS VALVE"," ""美瑞特"" 飛鷺止血閥"," ""Merit"" FLO40XR Hemostasis Valve", 'FLO40XR;FLO40XR51;FLO40XR52;FLO40XR54, 組,915, , 114/01/01, 114/01/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第037222號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01HVA8FMR, “美瑞特”止血閥門配接器“MERIT MEDICAL” HEMOSTASIS VALVE ADAPTER, “美瑞特”止血閥門配接器, “Merit Medical” Hemostasis Valve Adapter, 'HVA-100, 組,915, , 112/02/01, 105/03/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第027453號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01KESU1NX," ""尼瓦西斯""Y型接頭組:氣球導管或導引管用接頭(單Y型)""MINVASYS"" Y-CONNECTOR"," ""尼瓦西斯""Y型接頭組:氣球導管或導引管用接頭(單Y型)"," ""MINVASYS"" Y-CONNECTOR", 'KESU0001;KESU0003;(KESU0002自1070101起生效);(KESU0004;KESU0006自1070701起生效), 組,915, , 112/02/01, 095/01/01,N,無, 999/12/31, 凱薩琳,衛署醫器輸字第011676號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01MAP11MR," ""美瑞特""血管成型術止血閥組:氣球導管或導引管用接頭(單Y型)""MERIT"" ANGIOPLASTY PACKS AND HEMOSTASIS VALVES"," ""美瑞特""血管成型術止血閥組:氣球導管或導引管用接頭(單Y型)"," ""Merit"" Angioplasty Packs and Hemostasis Valves", 'MAP111(MAP112;MAP113;MAP150;MAP151;MAP152;MAP153;MAP154自1130501生效), 組,915, , 113/05/01, 111/05/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第035012號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01MAP13MR, MONIFOLD W/HEMOSTASIS VALVE 200PSI 單Y型," ""美瑞特"" 多路水接頭:氣球導管或導引管用接頭(單Y型)"," ""MERIT"" MANIFOLD:WITH HEMOSTASIS VALVE 200PSI(Y ADAPTOR)", 'MAP111:114;400;403;450;453, EA,915, , 112/02/01, 093/01/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第010140號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/雙Y型, ACY01MAP22MR, ANGIOPLASTIC PACK & DOUBLE HEMOSTASIS VALVES," ""美瑞特""血管成型術止血閥組:氣球導管或導引管用接頭(雙Y型)"," ""MERIT""ANGIOPLASTY PACKS ＆ HEMOSTASIS VALVES(DOUBLE Y ADAPTOR)", 'MAP221, EA,942, , 112/02/01, 095/01/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第019723號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01MAP32MR, HONOR HEMOSTASIS VALVE ANGIOPLASTY PACK," ""美瑞特""昂仰血管成型術止血閥組:氣球導管或導引管用接頭(單Y型)"," ""MERIT""HONOR HEMOSTASIS VALVE ANGIOPLASTY PACK", 'MAP300;301;302;350;351;352, EA,915, , 112/02/01, 098/04/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第019364號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01MAP45MR," ""MERIT""ANGIOPLASTY PACKS & HEMOSTASIS VALVES""美瑞特""血管成型術止血閥組"," ""美瑞特""血管成型術止血閥組:氣球導管或導引管用接頭(單Y型)"," ""MERIT""ANGIOPLASTY PACKS ＆ HEMOSTASIS VALVES", 'MAP102;MAP112;MAP453;(MAP101;103;104;111;113;114;150:154;400;403;450;自1010401生效), EA,915, , 112/02/01, 095/01/01,N,無, 999/12/31, 美瑞特,衛署醫器輸字第019723號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01MAP80MR, “美瑞特”博士止血閥門“MERIT” PHD HEMOSTASIS VALVE, “美瑞特”博士止血閥門, “Merit” PhD Hemostasis Valve, 'MAP800;MAP801;MAP802;MAP803;MAP804, 組,915, , 112/02/01, 106/11/01,N,無, 999/12/31, 美瑞特,衛部醫器輸字第029425號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01NYC10GJ," ""JSM""Y CONNECTOR KIT W/INSERTION TOOL""吉生""Y 型連接器組含導引支撐器"," ""吉生""Y型連接器組(含導引支撐器)"," ""JSM""Y CONNECTOR KIT(WITH INSERTION TOOL)", '09-110101-01, EA,915, , 112/02/01, 101/10/01,N,無, 999/12/31, 吉生,衛署醫器製字第003751號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01YK110GJ, “吉生”Y型連接器組“JSM”Y CONNECTOR KIT, “吉生”Y型連接器組, “JSM”Y Connector Kit, '09-900110-01;(09-200110-01自1030701生效);(09-900100-01;09-900111-01;09-200100-01;09-200111-01自1130101生效), 組,915, , 113/01/01, 100/10/01,N,無, 999/12/31, 吉生,衛署醫器製字第003380號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACY01YNPRHYC, 〝樂普〞安救圍Y型止血閥組〝LEPU〞ANGIOWAY Y-HEMOSTASIS VALVE SET, 〝樂普〞安救圍Y型止血閥組, 〝Lepu〞Angioway Y-Hemostasis Valve Set, 'YNP;YNP20;YNP25;YNP40;YNP50;YNPH;YNP20H;YNP25H;YNP40H;YNP50H;YNR;YNRH, 組,915, , 114/03/01, 114/03/01,N,無, 999/12/31, 惠澤,衛部醫器陸輸字第001595號,  , , ,
'A,'AC, 導管接頭類, 'PTC, 'ACPTC, 氣球導管或導引管用接頭, PTCA氣球導管或導引管用接頭/單Y型, ACYSPWN0ZZ1M, “栩拜美德” Y型/迷你Y型連接器(組)“HUBIOMED” ROTATING HEMOSTASIS VALVE, “栩拜美德” Y型/迷你Y型連接器(組), “HuBioMed” Rotating Hemostasis Valve, '(RHV-TR-W01;W04);(RHV-OR-W01;W04);(RHV-BS-B01;B04);(RHV-DB-W01;W04);(RHV-9M-W01;W04);(RHV-7M-W01;W04);(RHV-YN-W01;W04);(RHV-AV-N01;N04);(RHV-AX-N01;N04), 組,915, , 113/11/01, 113/11/01,N,無, 999/12/31, 振升,衛部醫器輸字第036983號,  , , ,
'1,'11, 袋類, '111, '11111, 新功能類別尚未核價, 限原發性肺動脈高血壓症居家靜脈注射FLOLAN者, BBB0107322HJ, “史密斯”儲液卡匣+“史密斯”延長管(含0.2 MICRON過濾器)(限原發性肺動脈高血壓症居家靜脈注射FLOLAN者), “史密斯”儲液卡匣+“史密斯”延長管(含0.2 MICRON過濾器)(限原發性肺動脈高血壓症居家靜脈注射FLOLAN者), “Smiths” CADD Medication Cassette Reservoirs+“Smiths”CADD Extension Sets(with 0.2 micron filter), '(儲液卡匣21-7302-24)；(延長管21-7106-24), 組,1500, , 112/01/01, 110/09/01,N,無, 999/12/31, 耀瑞,衛部醫器輸字第032650號+衛署醫器輸字第018368號,  , , ,
'B,'BB, 袋類, 'B01, 'BBB01, 輸液加壓袋, 輸液加壓袋, BBB01T060CTM, TRANSFER BAG 600ML," ""泰爾茂"" 血袋空袋轉換袋:輸液加壓袋"," ""TERUMO""TERUFLEX TRANSFER BAG", 'BB*T060CB, EA,67.9, , 112/02/01, 084/03/01,N,無, 999/12/31, 泰爾茂,衛署醫器輸字第008844號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0351945KG, “卡比”愛普仕管灌餵食管袋組合套“KABI” APPLIX SMART/VISION PUMP SET, “卡比”愛普仕管灌餵食管袋組合套, “Kabi” Applix Smart/Vision Pump Set, '7751945, 組,100, , 110/07/01, 110/07/01,N,E204-2, 999/12/31, 費森尤斯卡比,衛部醫器陸輸字第001155號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, GRAVITY FEEDING SET/WITH TUBE/WITH BAG, BBF0364101TP, 特浦餵食引導器(未滅菌)-重力式餵食袋TOP FEEDING TUBE ACCESSORIES (NON-STERILE), 特浦餵食引導器(未滅菌)-重力式餵食袋, TOP Feeding Tube Accessories (Non-Sterile), '64101, 個,72, , 109/09/01, 109/09/01,N,E204-2, 999/12/31, 台灣特浦,衛部醫器製壹字第007760號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0364102TP, 特浦餵食引導器(未滅菌)-幫浦用TOP FEEDING TUBE ACCESSORIES (NON-STERILE)-PUMP SET, 特浦餵食引導器(未滅菌)-幫浦用, TOP Feeding Tube Accessories (Non-Sterile)-Pump Set, '64102, 組,100, , 109/05/01, 109/05/01,N,E204-2, 999/12/31, 台灣特浦,衛部醫器製壹字第007760號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0373006KD," KENDALL KANGAROO ENTERAL FEEDING PUMP SETS*""肯特利""袋鼠灌食機用套組"," ""肯特利""袋鼠灌食管及袋子"," ""KENDALL"" KANGAROO ENTERAL FEEDING PUMP SETS", '8884-773006, SET,100, , 105/01/01, 095/07/01,N,E204-2, 999/12/31, 科舉,衛署醫器輸字第013588號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0373622KD," ""KENDALL""KANGAROO 924 PUMP SETS""肯特利""袋鼠灌食機用套組"," ""肯特利""袋鼠灌食機用套組"," ""KENDALL""KANGAROO 924 PUMP SETS", '673622;672027, SET,100, , 105/01/01, 100/10/01,N,E204-2, 999/12/31, 科舉,衛署醫器輸字第021042號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0377508KG, “卡比”艾美嘉管灌營養袋餵食管“KABI” AMIKA PUMP SET, “卡比”艾美嘉管灌營養袋餵食管, “Kabi” Amika pump set, '7751908;(7751956自1110701生效), 組,100, , 111/07/01, 108/07/01,N,E204-2, 999/12/31, 費森尤斯卡比,衛部醫器輸字第031948號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0377519KG, “卡比”艾美嘉管灌營養袋餵食管“KABI” AMIKA PUMP SET, “卡比”艾美嘉管灌營養袋餵食管, “Kabi” Amika pump set, '7751908, 組,100, , 110/07/01, 110/07/01,N,E204-2, 999/12/31, 費森尤斯卡比,衛部醫器陸輸字第001156號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF0377545KG, “卡比”愛普仕管灌餵食管袋組合套“KABI” APPLIX SMART/VISION PUMP SET, “卡比”愛普仕管灌餵食管袋組合套, “Kabi” Applix Smart/Vision Pump Set, '7751945, 組,100, , 108/07/01, 108/07/01,N,E204-2, 999/12/31, 費森尤斯卡比,衛部醫器輸字第032248號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF03C100NLL, “怡安”餵食引導器 (未滅菌)-重力式餵食袋(幫浦用)“LILY” FEED TUBE GUIDE (NON-STERILE), “怡安”餵食引導器 (未滅菌)-非重力式餵食袋(幫浦用), “Lily” Feed tube guide (Non-Sterile), 'CIS-100N, 組,100, , 112/11/01, 112/11/01,N,E204-2, 999/12/31, 怡安,衛部醫器製字第007861號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, GRAVITY FEEDING SET/WITH TUBE/WITH BAG, BBF03C120GLL, “怡安”餵食引導器 (未滅菌)-重力式餵食袋“LILY” FEED TUBE GUIDE (NON-STERILE), “怡安”餵食引導器 (未滅菌)-重力式餵食袋, “Lily” Feed tube guide (Non-Sterile), 'CIS-120G, 組,72, , 112/11/01, 112/11/01,N,E204-2, 999/12/31, 怡安,衛部醫器製字第007861號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF03E114M98," ""麥科田"" 灌食幫浦-腸內供給組合""MEDCAPTAIN"" ENTERAL FEEDING PUMP-ENTERAL GIVING SET"," ""麥科田"" 灌食幫浦-腸內供給組合"," ""Medcaptain"" Enteral Feeding Pump-Enteral Giving Set", 'E114M0115, 組,100, , 111/01/01, 111/01/01,N,E204-2, 999/12/31, 宏昱,衛部醫器陸輸字第001201號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF03F1200SG, FEEDING PUMP SET※適應症請見備註欄," ""十美牌""餵食引導器 (未滅菌):機械式餵食袋"," ""SIGMA""FEED TUBE GUIDE (NON-STERILE):FEEDING PUMP SET", 'FB1200, EA,100, , 105/01/01, 087/06/01,N,E204-2, 999/12/31, 聯和,衛署醫器製壹字第001499號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, GRAVITY FEEDING SET/WITH TUBE/WITH BAG, BBF03FB030P2," ""PAHSCO""FEEDING BAG雙袋重力式餵食袋*適應症請見備註欄"," ""太平洋""餵食袋:雙袋重力式"," ""PAHSCO"" FEEDING BAG:GRAVITY FEEDING SET", 'FB030(FB030自102年5月1日起刪除;M07030;M07033;自102年5月1日起生效), EA,72, , 102/05/01, 097/10/01,N,E204-2, 999/12/31, 太平洋,衛署醫器製字第001378號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, FEEDING PUMP SET/WITH TUBE/WITH BAG, BBF03FB040P2," ""PAHSCO""FEEDING BAG雙袋機械式餵食袋*適應症請見備註欄"," ""太平洋""餵食袋:雙袋機械式"," ""PAHSCO"" FEEDING BAG:FEEDING PUMP SET", 'FB040(FB040自102年5月1日起刪除;M07040自102年5月1日起生效), EA,100, , 105/01/01, 097/10/01,N,E204-2, 999/12/31, 太平洋,衛署醫器製字第001378號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, GRAVITY FEEDING SET/WITH TUBE/WITH BAG, BBF03FB120SG, “十美牌”餵食引導器 (未滅菌)-重力式餵食袋“SIGMA”FEED TUBE GUIDE (NON-STERILE), “十美牌”餵食引導器 (未滅菌)-重力式餵食袋, “Sigma”Feed tube guide (Non-Sterile), 'FB1200(自1080101型號變更為FG1200), 條,72, , 108/01/01, 107/09/01,N,E204-2, 999/12/31, 聯和,衛署醫器製壹字第001499號,  , , ,
'B,'BB, 袋類, 'F03, 'BBF03, 餵食袋 FEEDING BAG, GRAVITY FEEDING SET/WITH TUBE/WITH BAG, BBF03FB600P2, PAHSC0 FEEDING BAG 重力式 600ML*適應症請見備註欄," ""太平洋""餵食袋:重力式"," ""PAHSCO"" FEEDING BAG:GRAVITY FEEDING SET", 'FB600(FB600自102年5月1日起刪除;M07521;M07522;自102年5月1日起生效), EA,72, , 102/05/01, 096/01/01,N,E204-2, 999/12/31, 太平洋,衛署醫器製字第001378號,  , , ,
